,precision,recall,f1-score,support
angry,0.9411764705882353,0.8421052631578947,0.8888888888888888,19.0
calm,0.8,0.8421052631578947,0.8205128205128205,19.0
disgust,1.0,0.9473684210526315,0.972972972972973,19.0
fearful,1.0,0.9473684210526315,0.972972972972973,19.0
happy,0.8333333333333334,0.7894736842105263,0.8108108108108109,19.0
neutral,0.6428571428571429,0.9,0.75,10.0
sad,0.9411764705882353,0.8421052631578947,0.8888888888888888,19.0
surprised,0.8636363636363636,0.95,0.9047619047619048,20.0
accuracy,0.8819444444444444,0.8819444444444444,0.8819444444444444,0.8819444444444444
macro avg,0.8777724726254138,0.8825657894736841,0.8762261574761574,144.0
weighted avg,0.8923565133123957,0.8819444444444444,0.8843134572301239,144.0
